Site ID,Date Collected,Pellet Length,Pellet Dry Mass (g),Pellet ID,Taxon,Abbreviated Taxon,Number of Individuals,Vert or Invert
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,1,Vertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,5,Vertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,2,Vertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,5,Vertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,"Reithrodontomys megalotis Baird, 1857",Reithrodontomys,0,Vertebrate
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,Rodentia sp.,Rodentia,1,Vertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,Rodentia sp.,Rodentia,0,Vertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,Rodentia sp.,Rodentia,0,Vertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,Rodentia sp.,Rodentia,1,Vertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,Rodentia sp.,Rodentia,0,Vertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,Rodentia sp.,Rodentia,1,Vertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,Rodentia sp.,Rodentia,2,Vertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,Rodentia sp.,Rodentia,0,Vertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,Rodentia sp.,Rodentia,0,Vertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,Rodentia sp.,Rodentia,0,Vertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,Rodentia sp.,Rodentia,1,Vertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,Rodentia sp.,Rodentia,0,Vertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,Rodentia sp.,Rodentia,2,Vertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,Rodentia sp.,Rodentia,0,Vertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,Rodentia sp.,Rodentia,0,Vertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,Rodentia sp.,Rodentia,0,Vertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,Rodentia sp.,Rodentia,0,Vertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,Rodentia sp.,Rodentia,2,Vertebrate
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,1,Vertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,"Thomomys bottae Eydoux and Gervais, 1836",Thomomys,0,Vertebrate
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,2,Invertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,1,Invertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,1,Invertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,"Vespula pennsylvanica (de Saussure, 1857)",Vespula,0,Invertebrate
